organization_name,coursera_name,coursera_code,star,reviews,level,result
University of Colorado Boulder,Ethical Issues in Data Science,Ethical Issues in Data Science,4.7,,Beginner level,"['Learners will be able to Identify and manage ethical situations that may arise in their careers.', '', 'Learnerrs will be able to apply ethical frameworks to help them analyze ethical challenges.', '', 'Learners will be familiar with key applications of data science that are commonly  linked to ethical issues.', '']"
Genentech,Making Data Science Work for Clinical Reporting,Making Data Science Work for Clinical Reporting,NaN,NaN,Intermediate level,[]
University of Pennsylvania,Statistics for Data Science Essentials,Statistics for Data Science Essentials,NaN,NaN,Intermediate level,[]
CertNexus,Finalize a Data Science Project,Finalize a Data Science Project,NaN,NaN,Intermediate level,"['Communicate results of a model via web apps, and implement an d test pipelines that automate the model training, tuning and deployment process.   ', '']"
IBM,What is Data Science?,What is Data Science?,4.7,68961,Beginner level,"['Define data science and its importance in today’s data-driven world.', 'Describe the various paths that can lead to a career in data science.', ' Summarize  advice given by seasoned data science professionals to data scientists who are just starting out.', 'Explain why data science is considered the most in-demand job in the 21st century. ']"
Johns Hopkins University,Genomic Data Science Specialization,Genomic Data Science Specialization,4.4,5477,Intermediate level,[]
University of Washington,Communicating Data Science Results,Communicating Data Science Results,3.4,142,Intermediate level,[]
Politecnico di Milano,Data science perspectives on pandemic management,Data science perspectives on pandemic management,NaN,NaN,Beginner level,[]
University of Washington,Data Science at Scale - Capstone Project,Data Science at Scale - Capstone Project,3.8,25,Beginner level,[]
Google Cloud,Hands-on Foundations for Data Science and Machine Learning with Google Cloud Labs Specialization,Hands-on Foundations for Data Science and Machine Learning with Google Cloud Labs Specialization,4.2,93,Intermediate level,[]
Nan,Nan,Nan,NaN,NaN,Intermediate level,[]
Nan,Nan,Nan,NaN,NaN,Intermediate level,[]
Nan,Nan,Nan,NaN,NaN,Intermediate level,[]
Nan,Nan,Nan,NaN,NaN,Intermediate level,[]
Google,Google AI Essentials,Google AI Essentials,4.7,574,Beginner level,"['Use generative AI tools to help develop ideas and content, make more informed decisions, and speed up daily work tasks', 'Write clear and specific prompts to get the output you want - you’ll apply prompting techniques to help summarize, create tag lines, and more', 'Use AI responsibly by identifying AI’s potential biases and avoiding harm ', 'Develop strategies to stay up-to-date in the emerging landscape of AI']"
University of Virginia Darden School Foundation,IBM & Darden Digital Strategy Specialization,IBM & Darden Digital Strategy Specialization,4.8,358,Beginner level,['Understand the value of data and how the rapid growth of technologies such as artificial intelligence and cloud computing are transforming business. ']
Nan,Nan,Nan,NaN,NaN,Intermediate level,[]
IBM ,IBM AI Foundations for Business Specialization,IBM AI Foundations for Business Specialization,4.7,1341,Beginner level,[]
Stanford University,AI in Healthcare Specialization,AI in Healthcare Specialization,4.7,1494,Beginner level,"['Identify problems healthcare providers face that machine learning can solve', 'Analyze how AI affects patient care safety, quality, and research', 'Relate AI to the science, practice, and business of medicine', 'Apply the building blocks of AI to help you innovate and understand emerging technologies  ']"
IBM,AI Foundations for Everyone Specialization,AI Foundations for Everyone Specialization,4.7,2664,Beginner level,[]
Google,Ask Questions to Make Data-Driven Decisions,Ask Questions to Make Data-Driven Decisions,4.7,30948,Beginner level,"['Explain how the problem-solving road map applies to typical analysis scenarios. ', '', 'Discuss the use of data in the decision-making process.', '', 'Demonstrate the use of spreadsheets to complete basic tasks of the data analyst including entering and organizing data.', '', 'Describe the key ideas associated with structured thinking.', '']"
DeepLearning.AI,Natural Language Processing Specialization,Natural Language Processing Specialization,4.6,5427,Intermediate level,"['Use logistic regression, naïve Bayes, and word vectors to implement sentiment analysis, complete analogies & translate words.', '', '', 'Use dynamic programming, hidden Markov models, and word embeddings to implement autocorrect, autocomplete & identify part-of-speech tags for words.', '', '', 'Use recurrent neural networks, LSTMs, GRUs & Siamese networks in Trax for sentiment analysis, text generation & named entity recognition.', '', '', 'Use encoder-decoder, causal, & self-attention to machine translate complete sentences, summarize text, build chatbots & question-answering.', '', '']"
Vanderbilt University,Generative AI Automation Specialization,Generative AI Automation Specialization,4.9,51,Beginner level,[]
Vanderbilt University,Prompt Engineering Specialization,Prompt Engineering Specialization,4.9,1204,Beginner level,[]
Vanderbilt University,Generative AI Assistants Specialization,Generative AI Assistants Specialization,4.9,79,Beginner level,[]
DeepLearning.AI,Advanced Learning Algorithms,Advanced Learning Algorithms,4.9,5496,Beginner level,"['Build and train a neural network with TensorFlow to perform multi-class classification', 'Apply best practices for machine learning development so that your models generalize to data and tasks in the real world', 'Build and use decision trees and tree ensemble methods, including random forests and boosted trees']"
DeepLearning.AI,Neural Networks and Deep Learning,Neural Networks and Deep Learning,4.9,121144,Intermediate level,[]
Fractal Analytics,Fractal Data Science Professional Certificate,Fractal Data Science Professional Certificate,4.6,75,Beginner level,"[' Apply structured problem-solving techniques to dissect and address complex data-related challenges encountered in real-world scenarios.   ', 'Utilize SQL proficiency to retrieve, manipulate data and employ data visualization skills using Power BI to communicate insights.', 'Apply Python expertise for data manipulation, analysis and implement machine learning algorithms to create predictive models for applications.', 'Create compelling data stories to influence your audience and master the art of critically analyzing data while making decisions and recommendations.']"
